expert_id;image_name;name;сфера;освіта;місце роботи;найбільше коментує
401;epifanii;Епіфаній;Релігія;Київська духовна семінарія, Київська духовна академія, доктор богослів’я;митрополит Київський і всієї України, предстоятель Православної церкви України;Суспільство, Політика
377;s_fursa;Сергій Фурса;Фінансова аналітика;НТУУ «КПІ» (системний аналіз фінансового ринку);Колумніст, інвестиційний банкір, спеціаліст відділу продажів боргових цінних паперів Dragon Capital;Економіка
239;v_iosub;Вадим Іосуб;Фінансова аналітика;МДУЕСІ (прикладна математика);"Старший аналітик ""Альпарі""";Економіка
189;a_shevchyshyn;Андрій Шевчишин;Фінансова аналітика;КНУ ім. Шевченка (економічна кібернетика);руководитель отдела аналитики ГК Forex Club;Економіка
534;k_bondarenko;Кость Бондаренко;Політтехнології;ЛНУ ім. Івана Франка (історичний факультет), кандидат історичних наук;"керівник Фонду ""Українська політика""";Політика
458;k_sazonov;Кирило Сазонов;Політтехнології;;журналіст, політолог;Політика, Економіка
418;m_chaplyha;Михайло Чаплига;Політтехнології;НУ «Львівська політехніка», НТУ «КПІ»;засновник ГО «Центр прикладної політики CТРАТАГЕМА», політичний активіст і блогер;Політика, Світ
337;p_klimkin;Павло Клімкін;Політика;Московський фізико-технічний інститут (фізика та прикладна математика);Колишній Міністр закордонних справ України;Політика
111;d_hordon;Дмитро Гордон;Журналістика?;Київський інженерно-будівельний інститут;засновник інтернет-видання «Гордон»;Політика
214;o_kushch;Олексій Кущ;Економічна аналітика;КНЕУ (менеджмент);;Економіка
94;s_leshchenko;Сергій Лещенко;Політика?;Інститут журналістики КНУ ім. Тараса Шевченка;Член наглядової ради державного акціонерного товариства «Українська залізниця»;Політика
541;m_rudkovskyi;Микола Рудьковський;Політика;Національний університет «Чернігівський колегіум» імені Т. Г. Шевченка;екс-міністр транспорту;Політика
1112;y_yatsyna;Юрій Яцина;Медицина;;Головний лікар обласної клінічної лікарні ім. А. Новака;Коронавірус
1498;a_hunder;Андрій Гундер;Бізнес?;Папський Урбаніанський університет (філософія), Папський Університет св. Томи Аквінського (теологія);президент Американської торговельної палати в Україні;Економіка
2000;a_klymenko;Андрій Клименко;Журналістика?;Севастопольський приладобудівний інститут (Автоматика та телемеханіка, АСУ великих систем);керівник проєкту Інституту Чорноморських стратегічних досліджень Андрій Клименко;Світ
4771;d_bisli;Девід Біслі;;Університет Клемсон, Університет Південної Кароліни;виконавчий директор Всесвітньої продовольчої програми;Світ
1163;v_halytskyi;Володимир Галицький;Наука;Кандидат біологічних наук;науковець Інституту біохімії ім. Палладіна НАНУ;Коронавірус
1127;v_korsunov;Володимир Корсунов;Медицина;Доктор медичних наук, професор;завідувач кафедри анестезіології та інтенсивної терапії в Харківській медакадемії, консультант Харківської обласної інфекційної лікарні;Коронавірус
1355;v_lytvyn;Володимир Литвин;Політика;КНУ ім. Шевченка, доктор історичних наук, професор;Колишній голова Верховної Ради України;Політика
